Product code,Category,Ingredient List,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Polyunsaturated Fat (g),Monounsaturated Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),image_path
299,Bacon,"Water, Vital Wheat Gluten, Canola Oil, Buckwheat
(Water, Buckwheat), Kidney Beans (Water, Kidney Beans), Natural Hickory Smoke Flavor, 2% or Less of Natural Flavors, Caramel Color, Cane Sugar, Annatto, Dried Garlic, Dried Onion, Paprika, Maple Syrup, Salt, Autolyzed Yeast Extract, Spices, Tomato Puree (Water, Tomato Paste, Citric Acid), Tomato Powder, Soy Sauce (Water, Soybeans,
Wheat, Salt, Alcohol), Tapioca Maltodextrin, Yeast Extract, Apple Cider Vinegar, Coconut Oil, Natural Smoke Flavor, Rosemary, Sea Salt, Sage, Inactive Yeast

",20.0,55.0,2.5,2.0,0.0,0.0,0.9,0.0,120.0,4.0,2.3,1.6,,4.0,0.0,0.0,0.4,89.0,images/Bacon/299.jpg
318,Bacon,"Water, soybean oil, modified corn starch, egg whites, soy flour, wheat gluten, hydrolyzed corn protein, contains 2% or less of vegetable glycerin, salt, soy protein isolate, sodium citrate, sodium phosphate, sugar, yeast, caramel color, natural and artificial flavors, monocalcium phosphate, sodium tripolyphosphate, malic acid, hydrolyzed soy protein, guar gum, lactic acid, hydrolyzed wheat protein, yeast extract, spice, locust bean gum, sodium sulfite (for freshness), disodium inosinate, disodium guanylate, carrageenan, red 3, nonfat milk, yellow 6, citric acid",16.0,60.0,4.5,0.5,0.0,2.5,1.0,0.0,220.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,10.0,images/Bacon/318.jpg
387,Bacon,"Water, Protein Blend (Rice Flour, Wheat Protein, Soy Protein, Pea Protein), Modified Food Starch, Sunflower Oil, Coconut Oil, Natural Flavor, Sustainable Palm Oil, Contains 2% or Less of: Yeast Extract, Salt, Spice, Sugar, Maltodextrin, Onion*, Garlic*, Lecithin, Natural Smoke Flavor, Beet Powder, Xanthan Gum, Tapioca Starch, Dextrose, Citric Acid, Sodium Citrate",17.0,294.0,11.8,0.0,0.0,0.0,0.0,0.0,1058.8,29.4,3.9,1.5,,11.8,0.0,0.0,0.0,82.9,images/Bacon/387.jpg
404,Bacon,"Water, Wheat Gluten, Soy Protein Isolate, Soybean Oil, Salt, Sugar, Natural Smoke Flavors, Spice Extractives, Contains 2% Or Less Of The Following: Soy Protein Concentrate, Carrageenan, Yeast Extract, Vegetable Oil, Natural Flavor, Red Rice Flour, Smoked Sugar, Oleoresin Paprika (Color).",20.0,40.0,2.0,0.7,0.0,0.0,0.0,0.0,290.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.5,172.3,images/Bacon/404.jpg
441,Bacon,"Rehydrated soya proteins 81%, sunflower oil, salt, natural flavourings, colourants: anthocyanins, lycopene, acidity corrector: potassium acetates.",100.0,218.0,15.0,1.3,0.0,,,0.0,2000.0,7.9,3.3,1.2,,14.0,,,,,images/Bacon/441.jpg
455,Bacon,"Cured With Water, Salt, Sugar, Sodium Phosphates, Sodium Ascorbate, Sodium Nitrite.",19.0,90.0,7.0,2.5,0.0,,,20.0,350.0,0.0,0.0,0.0,0.0,7.0,,0.0,,,images/Bacon/455.jpg
469,Bacon,"Water, Protein Blend (Rice Flour, Wheat Protein, Soy Protein, Pea Protein), Modified Food Starch, Sunflower Oil, Coconut Oil, Natural Flavor, Sustainable Palm Oil, Contains 2% or Less of: Yeast Extract, Salt, Spice, Sugar, Maltodextrin, Lecithin, Natural Smoke Flavor, Beet Powder, Xanthan Gum, Tapioca Starch, Dextrose, Sodium Citrate.",17.0,294.0,11.8,1.2,0.0,0.0,0.0,0.0,1000.0,29.4,0.3,2.7,0.0,11.8,0.0,0.0,0.0,181.6,images/Bacon/469.jpg
481,Bacon,"NON-GMO SOY MILK, Sustainable non-hydrogenated palm oil, Natural flavor, Natural vegetable color, Allulose, Maple syrup, Sea salt, Black pepper, Citric acid",23.0,90.0,5.0,1.5,0.0,0.0,0.0,0.0,170.0,4.0,2.0,1.0,0.0,6.0,0.0,0.0,1.3,0.0,images/Bacon/481.jpg
503,Bacon,"Non-GMO textured soybean protein, Non-GMO wheat fiber, wheat protein concentrate, konjac powder, vegetable root starch, white pepper, sea salt, brown sugar, sunflower seed oil, plant based vegan seasoning.",30.0,45.0,0.9,0.0,0.0,0.0,0.0,0.0,360.0,5.7,0.0,0.4,0.0,3.5,0.0,0.0,0.0,257.7,images/Bacon/503.jpg
533,Bacon,"Mycoprotein (49%), Rehydrated Free Range Egg White, Rapeseed Oil, Flavouring (contains Smoke Flavourings, Colour: Iron Oxide), Humectant: Glycerol.",100.0,214.0,15.7,1.1,0.0,,,0.0,1600.0,5.4,5.6,2.6,,10.1,,,0.5,,images/Bacon/533.jpg
109,Barista_Milk,"Oat Base (Filtered Water, Oats),
Animal-Free Whey Protein, High
Oleic Sunflower Oil, Calcium
Potassium Phosphate Citrate,
Sodium Citrate, Natural
Flavors, Sunflower Lecithin, Guar
Gum, Gellan Gum, Vitamin E, Vitamin A
Palmitate, Vitamin D, Vitamin B12",247.2,170.0,7.0,0.6,0.0,0.0,0.0,0.0,250.0,16.0,,3.3,4.2,10.0,,,,,
176,Barista_Milk,"Oat Base (Water, Oats), Low Erucic Acid Rapeseed Oil. Contains 2% Or Less Of: Dipotassium Phosphate, Calcium Carbonate, Tricalcium Phosphate, Sea Salt, Dicalcium Phosphate, Riboflavin, Vitamin A Acetate, Vitamin D2, Vitamin B12.
",240.0,140.0,7.0,0.5,0.0,0.0,0.0,0.0,100.0,16.0,2.0,7.0,7.0,3.0,,,,,images/Barista_Milk/176.jpg
177,Barista_Milk,"Macadamia Milk (Filtered Water, Macadamias), Cane Sugar, Calcium Phosphate, Potassium Citrate, Potassium Phosphate , Natural Flavor, Salt, Sunflower Lecithin, Gellan Gum.
",240.0,80.0,4.5,1.0,0.0,0.0,0.0,0.0,105.0,8.0,0.0,7.0,7.0,1.0,,,,,images/Barista_Milk/177.jpg
178,Barista_Milk,"Pistachio Milk (Filtered Water, Pistachios), Rice, Contains 2% or Less of: Cane Sugar, Dipotassium Phosphate, Himalayan Salt",247.2,42.0,1.9,0.6,0.0,0.0,0.0,0.0,39.6,5.4,0.0,8.3,3.1,1.2,,,,,images/Barista_Milk/178.jpg
179,Barista_Milk,"Water, Coconut Milk (11%), Concentrated Grape Juice, Rapeseed Oil, Faba Bean Protein, Calcium Phosphate, Emulsifier (Sucrose Esters Of Fatty Acids), Stabilisers (Cellulose Gum, Gellan Gum), Natural Flavourings, Salt, Acidity Regulator (Dipotassium Phosphate), Vitamin D2, Vitamin B12",103.0,49.0,4.0,0.9,0.0,0.0,0.0,0.0,130.0,2.1,1.8,4.2,9.1,1.1,,,,,images/Barista_Milk/179.jpg
213,Barista_Milk,"Oatmilk (Water, Oats), Sunflower Oil, Minerals (Dipotassium Phosphate, Calcium Carbonate, Tricalcium Phosphate), Sea Salt",247.2,130.0,7.0,0.5,0.0,0.0,0.0,0.0,115.0,13.0,0.0,10.6,6.1,2.0,,,,,images/Barista_Milk/213.jpg
217,Barista_Milk,"Oatmilk (Filtered Water, Oats), Sunflower Oil, Calcium Carbonate, Dipotassium Phosphate (Stabilizer), Sea Salt, Sunflower Lecithin, Natural Flavors, Gellan Gum, Vitamin A Palmitate, Vitamin D2, Riboflavin (Vitamin B2) And Vitamin B12.",240.0,150.0,8.0,1.0,0.0,0.0,0.0,0.0,100.0,19.0,2.0,3.0,3.0,2.0,,,,,images/Barista_Milk/217.jpg
224,Barista_Milk,"Filtered Water, Whole Grain Oats, Contains 2% or Less of: Cane Sugar, Dipotassium Phosphate, Salt",247.2,38.0,0.4,0.0,0.0,0.0,0.0,0.0,43.8,7.1,0.0,6.3,3.3,1.2,,,,,images/Barista_Milk/224.jpg
232,Barista_Milk,"Oatmilk (Filtered Water, Hydrolyzed Oats), Canola Oil, Dipotassium Phosphate, Tricalcium Phosphate, Sea Salt.",240.0,170.0,8.0,0.5,0.0,0.0,0.0,0.0,85.0,22.0,2.0,4.0,3.0,3.0,,,,,images/Barista_Milk/232.jpg
320,Barista_Milk,"Almondmilk (Filtered Water, Almonds), Calcium Carbonate, Sea Salt, Potassium Citrate, Sunflower Lecithin, Gellan Gum, Natural Flavors, D-Alpha-Tocopherol (Natural Vitamin E).",240.0,30.0,2.5,0.0,0.0,0.5,1.5,0.0,170.0,1.0,,0.0,0.0,1.0,,,,,images/Barista_Milk/320.jpg
327,Barista_Milk,"Grade A Organic Milk, Vitamin D3",240.0,160.0,8.0,0.0,0.0,0.0,2.5,35.0,135.0,13.0,0.0,12.0,0.0,8.0,,,,,images/Barista_Milk/327.jpg
348,Barista_Milk,"Water, High Oleic Sunflower Oil, Cane Sugar, Pea Protein, Dipotassium Phosphate, Natural Flavor, Sea Salt, Carrageenan, Sodium Ascorbate (To Preserve Freshness), Gellan Gum.",240.0,110.0,8.0,1.0,0.0,0.0,0.0,0.0,140.0,5.0,0.0,5.0,5.0,2.0,,,,,images/Barista_Milk/348.jpg
375,Barista_Milk,"Oats, Water, Canola Oil, Contains 1 % or less of: Dicalcium Phosphate, Tricalcium Phosphate, Iodized Salt.",100.0,83.0,4.1,0.5,0.0,0.0,2.7,0.0,136.4,10.0,2.2,7.9,0.0,1.6,,,,,images/Barista_Milk/375.jpg
381,Barista_Milk,"Oatmilk (Water, Whole Oats), Erythritol, High Oleic Sunflower Oil. Contains Less Than 2% Of: Fava Bean Protein, Dipotassium Phosphate, Calcium Phosphate, Cinnamon, Natural Flavors, Sea Salt, Gellan Gum, Stevia Leaf Extract",247.2,29.0,2.1,0.7,0.0,0.0,2.7,0.0,22.9,4.2,2.5,4.6,2.9,0.4,,,,,images/Barista_Milk/381.jpg
389,Barista_Milk,"Filtered Water, Almonds, Rice, Contains 2% or Less of: Cane Sugar, Dipotassium Phosphate, Salt",247.2,38.0,1.9,0.5,0.0,0.0,0.0,0.0,35.4,4.2,0.0,4.0,4.0,1.2,,,,,images/Barista_Milk/389.jpg
422,Barista_Milk,"Oatmilk (Water, Whole Oats), Erythritol, High Oleic Sunflower Oil. Contains Less Than 2% Of: Fava Bean Protein, Dipotassium Phosphate, Calcium Phosphate, Natural Flavors, Sea Salt, Gellan Gum",247.2,29.0,2.1,0.0,0.0,0.0,0.0,0.0,22.9,4.2,0.0,2.1,3.1,0.4,,,,,images/Barista_Milk/422.jpg
482,Barista_Milk,"Water, Cane Sugar, Ground Almonds, Contains 1% or less of: Carrageenan, Gellan Gum, Potassium Citrate, Sea Salt, Sodium Citrate, Sunflower Lecithin.",240.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,150.0,9.0,0.0,8.0,8.0,1.0,,,,,
484,Barista_Milk,"Filtered Water, Organic Oats, Organic Almonds, Organic Chicory Root Fiber, Baking Soda, French Grey Salt.",237.0,110.0,6.0,0.5,0.0,0.0,0.0,0.0,115.0,12.0,3.0,3.0,2.0,4.0,,,,,images/Barista_Milk/484.jpg
522,Barista_Milk,"Oatmilk (Water, Oats), Sunflower Oil, Minerals (Dipotassium Phosphate, Calcium Carbonate, Tricalcium Phosphate), Sea Salt.",240.0,130.0,7.0,0.5,0.0,0.0,0.0,0.0,115.0,13.0,,4.0,4.0,2.0,,,,,images/Barista_Milk/522.jpg
547,Barista_Milk,"Water, Oats, Sunflower Oil, Tricalcium Phosphate, Calcium Carbonate, Salt.",237.0,110.0,5.0,0.5,0.0,0.0,0.0,0.0,105.0,17.0,0.0,8.0,8.0,1.0,,,,,images/Barista_Milk/547.jpg
551,Barista_Milk,"Almondmilk (Water, Almonds), Cane Sugar, Calcium Carbonate, Sunflower Lecithin, Sea Salt, Locust Bean Gum, Natural Flavor, Gellan Gum, Potassium Citrate",247.2,29.0,1.9,0.8,0.0,0.0,0.0,0.0,58.3,2.5,0.0,5.2,3.9,0.8,,,,,images/Barista_Milk/551.jpg
133,Bratwurst,"Water, Soy Protein Concentrate, Sunflower Oil, Coconut Oil, 2% or Less of: Methylcellulose, Salt, Yeast Extract, Vegetal Casing (Sodium Alginate, Konjac Gum, Guar Gum), Cultured Dextrose, Food Starch Modified, Dextrose, Natural Flavors, Citric Acid, White Pepper, Garlic Powder, Spices, Marjoram, Soy Leghemoglobin, Vitamin E (Tocopherols), L-Tryptophan, Soy Protein Isolate, Vitamins & Minerals: Zinc, Vitamins (B3, B6, B2, and B12).",95.0,150.0,10.0,4.0,0.0,0.0,0.0,0.0,490.0,7.0,1.0,0.0,1.0,8.0,0.0,110.0,1.8,260.0,images/Bratwurst/133.jpg
170,Bratwurst,"Water, Pea Protein, Canola Oil, Modified Cellulose (From Plant Fiber), Less Than 2% Of Natural Flavors, Cane Sugar, Salt, Tapioca Starch, Citrus Fiber, Fava Bean Protein, Brown Rice Protein, Beet Powder (Color), Yeast Extract, Dried Torula Yeast, Dehydrated Lemon Peel, Smoked Sugar. In a Calcium Alginate Casing",85.0,200.0,15.0,0.6,0.0,,,0.0,500.0,5.0,0.0,0.0,1.1,14.0,0.0,0.0,1.3,231.3,images/Bratwurst/170.jpg
173,Bratwurst,"Water, canola oil, textured pea protein (pea protein, pea fiber), wheat gluten, methylcellulose, cultured sugar (to support quality), sugar, potato starch, salt, natural flavor (non-meat), bamboo fiber, yeast extract, nutritional yeast (inactive dried yeast, thiamin [b1], riboflavin [b2], niacin [b3], pantothenic acid [b5], pyridoxine [b6], folic acid [b9], cyanocobalamin [b12], zinc sulfate), casing (sodium alginate, konjac gum, guar gum), carrageenan, soy lecithin, mushroom powder, sunflower oil, vegetable juice (for color).",76.0,200.0,14.0,1.0,0.0,,,0.0,970.0,11.0,2.0,2.0,2.0,12.0,0.0,120.0,1.8,100.0,images/Bratwurst/173.jpg
175,Bratwurst,"Water, rapeseed oil, pea protein 12 %, bamboo fiber, salt, thickener: methyl cellulose, carrageenan; oyster mushroom, spices, dextrose",80.0,209.0,12.6,1.0,0.0,,,0.0,1520.0,5.0,0.0,0.0,0.0,8.0,0.94,23.8,0.45,296.0,images/Bratwurst/175.jpg
190,Bratwurst,"Vital Wheat Gluten, Filtered Water, Caramelized Onions (Yellow Onions, Sugar, Apple Juice Concentrate), Expeller Pressed Safflower Oil, Organic Expeller Pressed Palm Fruit Oil, Beer (Malted Barley, Hops, Yeast, Water), Yeast Extract (Yeast, Salt, Sugar), Garlic, Pea Protein, Barley Malt Extract, Onion Powder, Granulated Garlic, Natural Flavor (Potato Maltodextrin, Gum Arabic, Dried Brewer’s Yeast, Natural Flavor, Organic Sunflower Oil), Spices, Cultured Cane Sugar, Vinegar, Sea Salt, Caraway Seeds, Red Pepper, Black Pepper.",92.0,240.0,11.0,6.4,7.1,3.2,6.0,0.0,630.0,10.0,6.9,1.2,0.0,25.0,0.0,0.0,2.6,181.2,images/Bratwurst/190.jpg
253,Bratwurst,WaterTextured Pea ProteinTextured Wheat ProteinWheat GlutenWheat FlourCanola OilVital Wheat GlutenCoconut Oil,99.0,190.0,10.0,3.5,0.0,2.0,3.5,0.0,660.0,8.0,1.0,2.0,1.0,16.0,0.0,90.0,2.5,120.0,images/Bratwurst/253.jpg
285,Bratwurst,"Water, oyster mushroom, vegetable oil (coconut, sunflower, rapeseed), vegetable protein (soy protein concentrate,soy protein isolate, pea protein isolate), gluten (wheat), stabiliser (sodium alginate, calcium chloride), natural flavouring, starch (wheat), thickener (methylcellulose, cellulose), dietary fibre (oat), dextrose, colour (beetroot red), lemon juice, salt, barley malt extract, maltodextrin",100.0,191.0,11.3,9.3,0.0,,,0.0,1500.0,5.5,5.9,0.7,0.0,13.8,0.0,0.0,0.0,0.0,images/Bratwurst/285.jpg
337,Bratwurst,"Pork, water, corn syrup, and less than 2% of the following: pork broth with natural flavorings, salt, dextrose, natural flavors, BHA, propyl gallate, citric acid.",82.0,260.0,21.0,8.0,0.0,0.0,0.0,55.0,660.0,2.0,0.0,1.0,1.0,14.0,0.1,10.0,0.6,200.0,images/Bratwurst/337.jpg
347,Bratwurst,"Pea protein 20%, sunflower oil, spices, salt, yeast extract, water, vitamin B12.",100.0,197.0,14.0,1.9,0.0,,,0.0,1700.0,0.8,0.5,0.3,,17.0,0.0,,3.2,,images/Bratwurst/347.jpg
361,Bratwurst,"Water, Plant Protein (Pea, Rice), Coconut Fat, Thickeners: (Methyl Cellulose, Gellan gum, Tara Gum), Rapeseed oil, Flavourings (contains Mustard), Maltodextrin, Table Salt, Spices (Irradiated), Yeast extract, Acidity regulator (Calcium lactate), Caramelized pear juice concentrate, Edible Casing (carrageenan (stabilizer), starch), Vitamins and Minerals (B3, B12, Iron, Zinc), Color (beetroot red), Raspberry Juice.

May contain: Cereals containing Gluten, Soy, Sesame, Lupin, Celery.",100.0,246.0,17.0,3.1,0.0,,,0.0,1100.0,5.6,0.0,1.5,0.0,15.5,0.0,64.5,3.0,144.5,images/Bratwurst/361.jpg
398,Bratwurst,"Water, Pea Protein*, Avocado Oil, Rice Protein, Natural Flavors, Methylcellulose, 2% or less of Inulin, Oat Bran, Sunflower Lecithin, Vinegar, Yeast Extract, Oat Fiber, Lemon Juice Concentrate, Rice Starch, Vegetable Juice Color, Pea Starch, Salt, Spices, Apple Extract, Potato Starch, Calcium Chloride, Citric Acid, Potassium Salt, Pomegranate Concentrate, Onion Powder, Paprika Extract; Sodium Alginate Casing.",100.0,210.0,13.0,2.0,0.0,2.0,7.0,0.0,460.0,7.0,1.0,1.0,0.0,17.0,0.0,70.0,3.5,240.0,images/Bratwurst/398.jpg
417,Bratwurst,"Water, rapeseed oil, 7% wheat gluten, onions, starch, thickeners: methylcellulose, carrageenan; natural flavouring, spice extracts, table salt, field bean protein, spirit vinegar, oat fibre, 1% wheat flour, spices, dextrose.",100.0,175.0,12.0,1.0,7.6,3.4,7.6,0.0,1900.0,6.6,3.8,1.0,0.6,8.2,,,,,images/Bratwurst/417.jpg
514,Bratwurst,"Water, Rehydrated Textured SOYA and WHEAT Protein (15%)(Water, SOYA Protein, WHEAT Protein, Salt, SOYA Bean Oil, Natural Flavouring), Rusk (WHEAT), Stabilisers: Sodium Alginate, Guar Gum, Methyl Cellulose; Coconut Oil, SOYA Protein, WHEAT Starch, Flavourings, Salt, Potato Fibre, Yeast Extract, Colouring Foods: Beetroot, Safflower; Herbs, Spices, Black Pepper Extract, Capsicum Extract, Coriander Extract, Ginger Extract, Mace Extract, Nutmeg Extract.",100.0,148.0,6.0,4.4,0.0,,,0.0,1500.0,11.5,6.4,0.5,0.0,8.6,0.0,0.0,0.0,0.0,images/Bratwurst/514.jpg
100,Breaded_Chicken_Filet,"Water, soy protein [isolate (12%), concentrate (0.3%)], flours (wheat, maize, rice, soybean), rapeseed oil, wheat gluten (2.6%), natural flavourings, wheat starch, stabiliser (methylcellulose), starch, extra virgin olive oil, salt, dextrose, vitamin B12.",100.0,204.0,9.0,0.9,0.0,,,0.0,520.0,13.0,3.3,0.0,0.0,16.0,0.0,0.0,0.0,0.0,images/Breaded_Chicken_Filet/100.jpg
111,Breaded_Chicken_Filet,"Mycoprotein (37%), Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamine), Emmental Cheese (Cheese, Potato Starch), Water, Sunflower Oil, Light Cream Cheese Spread, Egg White, Wheat Starch. Contains 2% or less of Yeast Extract, Wheat Semolina, Salt, Canola Oil, Yeast, Pectin, Calcium Chloride, Calcium Acetate, Onion Powder, Sage, Sugar, Leavening (Ammonium Bicarbonate).",110.0,230.0,12.0,1.5,0.0,,,0.0,490.0,21.0,4.8,0.0,0.0,13.0,0.0,0.0,0.0,239.1,images/Breaded_Chicken_Filet/111.jpg
115,Breaded_Chicken_Filet,"White meat chicken, water, whole wheat flour, enriched wheat flour (enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), textured soy protein concentrate, soy protein concentrate, contains 2% or less of the following: corn starch, extractives of paprika, extractives of turmeric, garlic powder, maltodextrin, natural flavors, onion powder, salt, sodium phosphates, spice extractives (including extractives of celery seed), spices (including celery seed), yeast extract. Breading set in vegetable oil.",89.0,240.0,13.0,2.5,0.0,7.0,3.5,25.0,520.0,15.0,2.0,0.0,0.0,16.0,0.0,41.0,1.0,370.0,images/Breaded_Chicken_Filet/115.jpg
119,Breaded_Chicken_Filet,"(Mycelium, Less Than 2% Of: Salt, Acacia Gum, Natural Flavor, Chickpea Flour, Oat Fiber), Breading (Rice Flour, Canola Oil, Yellow Corn Flour, Potato Protein, Salt, Leavening [Baking Soda, Disodium Diphosphate, Calcium Phosphate], Spice, Dried Garlic, Dried Onion, Paprika, Paprika Extract, Xanthan Gum).",125.0,230.0,9.0,1.0,0.0,,,0.0,560.0,20.0,8.0,1.0,1.0,17.0,0.0,30.0,1.5,300.0,images/Breaded_Chicken_Filet/119.jpg
156,Breaded_Chicken_Filet,"Enriched Wheat Flour, Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid, Vital Wheat Gluten, Canola Oil, Soy Protein Isolate, Pea Protein Concentrate, Tapioca Starch, Degerminated Yellow Corn Flour, Textured Wheat Protein, Wheat Gluten, Wheat, Starch, Methylcellulose, Salt, Yeast Extract, Natural Flavors, Garlic Powder, Spices, Dried Onion, Fructose, Leavening, Sodium Acid Pyrophosphate, Sodium Bicarbonate, Paprika Extractives (Color), Pea Protein, Onion Powder, Citric Acid, Titanium Dioxide (Color), Xanthan Gum, Lactic Acid, Sunflower Oil",142.0,310.0,13.0,1.0,0.0,,,0.0,900.0,27.0,1.0,1.0,0.001,22.0,0.0,30.0,3.4,120.0,images/Breaded_Chicken_Filet/156.jpg
394,Breaded_Chicken_Filet,"Mushroom Root (mycelium), Less Than 2% Of: Salt, Natural Flavor, Acacia Gum, Oat Fiber, Chickpea Flour.

Avoid if sensitive to Fungi such as Mushroom, Mold, or Yeast. ",105.0,110.0,1.5,2.3,0.0,,,0.0,240.0,8.0,1.3,0.0,0.1,17.0,0.0,47.5,1.5,412.1,images/Breaded_Chicken_Filet/394.jpg
474,Breaded_Chicken_Filet,"Vegetable proteins (Water, Wheat Protein, Wheat Flour), Cornflakes (Corn, Sugar, Salt, Barley Malt Extract), Sunflower Oil, Wheat Gluten, Pea Starch, Wheat Flour, Pea Protein, Salt (Sea Salt, Salt), Modified Wheat Starch, Dried Onion, Natural Flavors, Wheat Starch, Yeast Extract, Pea Fiber, White Pepper, Bamboo Fiber, Methylcellulose, Potassium Lactate",100.0,270.0,12.0,3.3,0.0,,,0.0,530.0,23.0,3.0,1.1,0.7,17.0,0.0,0.0,1.5,309.8,images/Breaded_Chicken_Filet/474.jpg
